name,class_name,spec_name,amount,level,duration,startTime,report,server,bracketData,faction,affixes,medal,score,leaderboard,guild,hidden,dungeon_name
Pleasor,Paladin,Protection,-159999710.0,8,1060668,1768732725332,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 319, 'name': ""Quel'Thalas"", 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Jivril,Shaman,Elemental,-159999710.0,8,1060668,1768732725332,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 407, 'name': 'Blackmoore', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Liüb,Hunter,BeastMastery,-159999710.0,8,1060668,1768732725332,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 304, 'name': 'Kazzak', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Anonymous,Warlock,Demonology,-159999710.0,8,1061822,1768484533178,"{'code': '', 'fightID': None, 'startTime': None}",,8,0,"[10, 160]",gold,290.0,1,,True,"Ara-Kara, City of Echoes"
Святойлещь,Paladin,Holy,-159999710.0,8,1061822,1768484533178,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 495, 'name': 'Ревущий фьорд', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Bigcheck,Shaman,Elemental,-159999710.0,8,1061822,1768484533178,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 304, 'name': 'Kazzak', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,"{'id': 238024, 'name': 'Pescorus', 'faction': 1}",,"Ara-Kara, City of Echoes"
Shatah,Paladin,Protection,-159999710.0,8,1061822,1768484533178,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 373, 'name': 'Khaz Modan', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,"{'id': 38601, 'name': 'Le Chamallow Psychopathe', 'faction': 1}",,"Ara-Kara, City of Echoes"
Paraknas,Druid,Balance,-159999710.0,8,1061822,1768484533178,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 350, 'name': 'Twisting Nether', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Berndl,Monk,Mistweaver,-159999710.0,8,1004922,1768577859078,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 396, 'name': ""Aman'Thul"", 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Zårkkø,Warrior,Fury,-159999710.0,8,1004922,1768577859078,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 373, 'name': 'Khaz Modan', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,"{'id': 729369, 'name': 'Azeroth loot N craft', 'faction': 1}",,"Ara-Kara, City of Echoes"
Кексо,Shaman,Enhancement,-159999710.0,8,1004922,1768577859078,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 495, 'name': 'Ревущий фьорд', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Ехесом,Paladin,Protection,-159999710.0,8,1004922,1768577859078,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 495, 'name': 'Ревущий фьорд', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Лираз,Druid,Restoration,-159999710.0,8,1022919,1768654558081,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 488, 'name': 'Гордунни', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Тампидам,DeathKnight,Frost,-159999710.0,8,1022919,1768654558081,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 495, 'name': 'Ревущий фьорд', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Инспик,Hunter,BeastMastery,-159999710.0,8,1022919,1768654558081,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 495, 'name': 'Ревущий фьорд', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,"{'id': 253631, 'name': 'Клан Веселого Черепа', 'faction': 1}",,"Ara-Kara, City of Echoes"
Snaffles,Hunter,BeastMastery,-159999710.0,8,1022919,1768654558081,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 340, 'name': 'Tarren Mill', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,"{'id': 9140, 'name': 'Fluffy Lemon Noodles', 'faction': 1}",,"Ara-Kara, City of Echoes"
Derisch,Warrior,Protection,-159999710.0,8,1022919,1768654558081,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 394, 'name': 'Alexstrasza', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,"{'id': 784303, 'name': 'Akatsuki', 'faction': 0}",,"Ara-Kara, City of Echoes"
Zaîkø,Hunter,BeastMastery,-159999710.0,8,960552,1768768041448,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 392, 'name': 'Ysondre', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Aimlessmonk,Monk,Brewmaster,-159999710.0,8,960552,1768768041448,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 408, 'name': 'Blackrock', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Mártha,Shaman,Restoration,-159999710.0,8,960552,1768768041448,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 408, 'name': 'Blackrock', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,"{'id': 591201, 'name': 'The Solution', 'faction': 1}",,"Ara-Kara, City of Echoes"
Skylarked,DemonHunter,Havoc,-159999710.0,8,960552,1768768041448,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 441, 'name': 'Kult der Verdammten', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Sancrø,DeathKnight,Frost,-159999710.0,8,960552,1768768041448,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 392, 'name': 'Ysondre', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Purgeclap,Warrior,Protection,-159999710.0,8,921014,1768649639986,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 418, 'name': 'Die Aldor', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,"{'id': 737798, 'name': 'Trinkets', 'faction': 0}",,"Ara-Kara, City of Echoes"
Amadadh,DemonHunter,Havoc,-159999710.0,8,921014,1768649639986,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 406, 'name': 'Blackhand', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Жиола,Hunter,BeastMastery,-159999710.0,8,921014,1768649639986,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 485, 'name': 'Вечная Песня', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Nijika,Paladin,Retribution,-159999710.0,8,921014,1768649639986,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 406, 'name': 'Blackhand', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Priestdruid,Druid,Restoration,-159999710.0,8,921014,1768649639986,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 418, 'name': 'Die Aldor', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Happysnack,Hunter,BeastMastery,-159999710.0,8,1066659,1768676020341,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 407, 'name': 'Blackmoore', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Gordeius,DeathKnight,Blood,-159999710.0,8,1066659,1768676020341,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 358, 'name': 'Archimonde', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Môerdock,Paladin,Holy,-159999710.0,8,1066659,1768676020341,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 407, 'name': 'Blackmoore', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,"{'id': 16928, 'name': 'Diabolics', 'faction': 0}",,"Ara-Kara, City of Echoes"
Tahso,Mage,Fire,-159999710.0,8,1066659,1768676020341,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 399, 'name': 'Antonidas', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,"{'id': 16928, 'name': 'Diabolics', 'faction': 0}",,"Ara-Kara, City of Echoes"
Dayana,DemonHunter,Havoc,-159999710.0,8,909955,1768641943045,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 358, 'name': 'Archimonde', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,"{'id': 62153, 'name': 'Endless Agony', 'faction': 0}",,"Ara-Kara, City of Echoes"
Hypnotize,DemonHunter,Vengeance,-159999710.0,8,909955,1768641943045,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 273, 'name': 'Chromaggus', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,"{'id': 424686, 'name': 'Lunatic Asylum', 'faction': 1}",,"Ara-Kara, City of Echoes"
Angoa,Hunter,BeastMastery,-159999710.0,8,909955,1768641943045,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 320, 'name': 'Ragnaros', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,"{'id': 778087, 'name': 'CasualMadness', 'faction': 1}",,"Ara-Kara, City of Echoes"
Noumshé,Shaman,Elemental,-159999710.0,8,909955,1768641943045,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 370, 'name': 'Hyjal', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,"{'id': 732585, 'name': 'Le Mouletiverse', 'faction': 0}",,"Ara-Kara, City of Echoes"
Glîtrandîr,Druid,Restoration,-159999710.0,8,909955,1768641943045,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 399, 'name': 'Antonidas', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,"{'id': 802630, 'name': 'Roadhouse', 'faction': 1}",,"Ara-Kara, City of Echoes"
Dragobear,Evoker,Preservation,-159999710.0,8,1049522,1768890195478,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 336, 'name': 'Stormscale', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Spxxi,Warrior,Fury,-159999710.0,8,1049522,1768890195478,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 340, 'name': 'Tarren Mill', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,"{'id': 211107, 'name': 'Ancient', 'faction': 0}",,"Ara-Kara, City of Echoes"
Adarin,Paladin,Retribution,-159999710.0,8,1049522,1768890195478,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 249, 'name': 'Aggramar', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Ademia,Warlock,Destruction,-159999710.0,8,1049522,1768890195478,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 342, 'name': 'Terokkar', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,"{'id': 2111, 'name': 'Jane Doe', 'faction': 0}",,"Ara-Kara, City of Echoes"
Энидем,DemonHunter,Vengeance,-159999710.0,8,1049522,1768890195478,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 496, 'name': 'Свежеватель Душ', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Racthyr,Monk,Mistweaver,-159999710.0,8,1045886,1768861990114,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 508, 'name': 'Minahonda', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Yandriz,Mage,Frost,-159999710.0,8,1045886,1768861990114,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 255, 'name': 'Argent Dawn', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,"{'id': 90163, 'name': 'Epoch', 'faction': 0}",,"Ara-Kara, City of Echoes"
Malukslab,Rogue,Subtlety,-159999710.0,8,1045886,1768861990114,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 336, 'name': 'Stormscale', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Naowax,Priest,Shadow,-159999710.0,8,1045886,1768861990114,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 370, 'name': 'Hyjal', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Cmoyku,Warrior,Protection,-159999710.0,8,1045886,1768861990114,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 336, 'name': 'Stormscale', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Warruja,Warrior,Fury,-159999710.0,8,1021594,1768642824406,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 340, 'name': 'Tarren Mill', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,"{'id': 4018, 'name': 'OrganisationXII', 'faction': 0}",,"Ara-Kara, City of Echoes"
Avpé,Monk,Brewmaster,-159999710.0,8,1021594,1768642824406,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 370, 'name': 'Hyjal', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Cassië,Shaman,Restoration,-159999710.0,8,1021594,1768642824406,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 373, 'name': 'Khaz Modan', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,"{'id': 622733, 'name': 'KCÐQ', 'faction': 0}",,"Ara-Kara, City of Echoes"
Nützs,DeathKnight,Frost,-159999710.0,8,1021594,1768642824406,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 384, 'name': 'Sargeras', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Remopumper,Hunter,BeastMastery,-159999710.0,8,1021594,1768642824406,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 431, 'name': 'Frostwolf', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Outaa,DeathKnight,Frost,-159999710.0,8,911854,1768954481146,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 282, 'name': 'Doomhammer', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Rálph,Warlock,Demonology,-159999710.0,8,911854,1768954481146,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 280, 'name': 'Defias Brotherhood', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Ostorm,DeathKnight,Frost,-159999710.0,8,911854,1768954481146,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 340, 'name': 'Tarren Mill', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Atalåntå,Hunter,BeastMastery,-159999710.0,8,911854,1768954481146,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 329, 'name': 'Silvermoon', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Titánià,Paladin,Protection,-159999710.0,8,911854,1768954481146,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 329, 'name': 'Silvermoon', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Toranos,DemonHunter,Havoc,-159999710.0,8,1014715,1768489976285,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 361, 'name': 'Confrérie du Thorium', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Metrisa,Warrior,Fury,-159999710.0,8,1014715,1768489976285,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 512, 'name': 'Uldum', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,"{'id': 764129, 'name': 'Ðark inside', 'faction': 1}",,"Ara-Kara, City of Echoes"
Resmü,Druid,Guardian,-159999710.0,8,1014715,1768489976285,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 513, 'name': ""Zul'jin"", 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,"{'id': 764129, 'name': 'Ðark inside', 'faction': 1}",,"Ara-Kara, City of Echoes"
Flareshi,Shaman,Restoration,-159999710.0,8,1014715,1768489976285,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 513, 'name': ""Zul'jin"", 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,"{'id': 764129, 'name': 'Ðark inside', 'faction': 1}",,"Ara-Kara, City of Echoes"
Ringul,Hunter,BeastMastery,-159999710.0,8,1014715,1768489976285,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 509, 'name': 'Sanguino', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,"{'id': 764129, 'name': 'Ðark inside', 'faction': 1}",,"Ara-Kara, City of Echoes"
Furin,Shaman,Enhancement,-159999710.0,8,1017620,1768754446380,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 414, 'name': 'Der Mithrilorden', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,"{'id': 583319, 'name': 'Lost Echoes', 'faction': 0}",,"Ara-Kara, City of Echoes"
Neverblood,DeathKnight,Blood,-159999710.0,8,1017620,1768754446380,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 255, 'name': 'Argent Dawn', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Sofima,Druid,Restoration,-159999710.0,8,1017620,1768754446380,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 269, 'name': 'Burning Blade', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,"{'id': 23460, 'name': 'The Mob', 'faction': 0}",,"Ara-Kara, City of Echoes"
Sarstorm,Shaman,Enhancement,-159999710.0,8,1017620,1768754446380,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 304, 'name': 'Kazzak', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
