class_name,spec_name,level,score,duration_min,dungeon_name,medal
Shaman,Restoration,8,290.0,16.01,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,8,290.0,16.01,"Ara-Kara, City of Echoes",gold
DeathKnight,Frost,8,290.0,16.01,"Ara-Kara, City of Echoes",gold
Warrior,Protection,8,290.0,15.35,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,8,290.0,15.35,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,8,290.0,15.35,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,8,290.0,15.35,"Ara-Kara, City of Echoes",gold
Druid,Restoration,8,290.0,15.35,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,8,290.0,17.78,"Ara-Kara, City of Echoes",gold
DeathKnight,Blood,8,290.0,17.78,"Ara-Kara, City of Echoes",gold
Paladin,Holy,8,290.0,17.78,"Ara-Kara, City of Echoes",gold
Mage,Fire,8,290.0,17.78,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,8,290.0,15.17,"Ara-Kara, City of Echoes",gold
DemonHunter,Vengeance,8,290.0,15.17,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,8,290.0,15.17,"Ara-Kara, City of Echoes",gold
Shaman,Elemental,8,290.0,15.17,"Ara-Kara, City of Echoes",gold
Druid,Restoration,8,290.0,15.17,"Ara-Kara, City of Echoes",gold
Evoker,Preservation,8,290.0,17.49,"Ara-Kara, City of Echoes",gold
Warrior,Fury,8,290.0,17.49,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,8,290.0,17.49,"Ara-Kara, City of Echoes",gold
Warlock,Destruction,8,290.0,17.49,"Ara-Kara, City of Echoes",gold
DemonHunter,Vengeance,8,290.0,17.49,"Ara-Kara, City of Echoes",gold
Monk,Mistweaver,8,290.0,17.43,"Ara-Kara, City of Echoes",gold
Mage,Frost,8,290.0,17.43,"Ara-Kara, City of Echoes",gold
Rogue,Subtlety,8,290.0,17.43,"Ara-Kara, City of Echoes",gold
Priest,Shadow,8,290.0,17.43,"Ara-Kara, City of Echoes",gold
Warrior,Protection,8,290.0,17.43,"Ara-Kara, City of Echoes",gold
Warrior,Fury,8,290.0,17.03,"Ara-Kara, City of Echoes",gold
Monk,Brewmaster,8,290.0,17.03,"Ara-Kara, City of Echoes",gold
Shaman,Restoration,8,290.0,17.03,"Ara-Kara, City of Echoes",gold
DeathKnight,Frost,8,290.0,17.03,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,8,290.0,17.03,"Ara-Kara, City of Echoes",gold
DeathKnight,Frost,8,290.0,15.2,"Ara-Kara, City of Echoes",gold
Warlock,Demonology,8,290.0,15.2,"Ara-Kara, City of Echoes",gold
DeathKnight,Frost,8,290.0,15.2,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,8,290.0,15.2,"Ara-Kara, City of Echoes",gold
Paladin,Protection,8,290.0,15.2,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,8,290.0,16.91,"Ara-Kara, City of Echoes",gold
Warrior,Fury,8,290.0,16.91,"Ara-Kara, City of Echoes",gold
Druid,Guardian,8,290.0,16.91,"Ara-Kara, City of Echoes",gold
Shaman,Restoration,8,290.0,16.91,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,8,290.0,16.91,"Ara-Kara, City of Echoes",gold
Shaman,Enhancement,8,290.0,16.96,"Ara-Kara, City of Echoes",gold
DeathKnight,Blood,8,290.0,16.96,"Ara-Kara, City of Echoes",gold
Druid,Restoration,8,290.0,16.96,"Ara-Kara, City of Echoes",gold
Shaman,Enhancement,8,290.0,16.96,"Ara-Kara, City of Echoes",gold
Mage,Arcane,8,290.0,16.96,"Ara-Kara, City of Echoes",gold
Warrior,Fury,8,290.0,16.57,"Ara-Kara, City of Echoes",gold
Paladin,Protection,8,290.0,16.57,"Ara-Kara, City of Echoes",gold
DeathKnight,Frost,9,305.0,15.87,"Ara-Kara, City of Echoes",gold
Druid,Restoration,9,305.0,15.87,"Ara-Kara, City of Echoes",gold
Warrior,Protection,9,305.0,15.87,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,9,305.0,15.87,"Ara-Kara, City of Echoes",gold
Mage,Frost,9,305.0,15.87,"Ara-Kara, City of Echoes",gold
Priest,Shadow,9,305.0,17.16,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,9,305.0,17.16,"Ara-Kara, City of Echoes",gold
Paladin,Holy,9,305.0,17.16,"Ara-Kara, City of Echoes",gold
Warrior,Fury,9,305.0,17.16,"Ara-Kara, City of Echoes",gold
DemonHunter,Vengeance,9,305.0,17.16,"Ara-Kara, City of Echoes",gold
Mage,Arcane,9,305.0,17.24,"Ara-Kara, City of Echoes",gold
Rogue,Subtlety,9,305.0,17.24,"Ara-Kara, City of Echoes",gold
Druid,Restoration,9,305.0,17.24,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,9,305.0,17.24,"Ara-Kara, City of Echoes",gold
Monk,Brewmaster,9,305.0,17.24,"Ara-Kara, City of Echoes",gold
Warrior,Fury,9,305.0,17.16,"Ara-Kara, City of Echoes",gold
DemonHunter,Vengeance,9,305.0,17.16,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,9,305.0,17.16,"Ara-Kara, City of Echoes",gold
Priest,Shadow,9,305.0,17.16,"Ara-Kara, City of Echoes",gold
Paladin,Holy,9,305.0,17.16,"Ara-Kara, City of Echoes",gold
Warrior,Fury,9,305.0,16.91,"Ara-Kara, City of Echoes",gold
Priest,Discipline,9,305.0,16.91,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,9,305.0,16.91,"Ara-Kara, City of Echoes",gold
Paladin,Protection,9,305.0,16.91,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,9,305.0,16.91,"Ara-Kara, City of Echoes",gold
Warrior,Protection,9,305.0,15.87,"Ara-Kara, City of Echoes",gold
Druid,Restoration,9,305.0,15.87,"Ara-Kara, City of Echoes",gold
DeathKnight,Frost,9,305.0,15.87,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,9,305.0,15.87,"Ara-Kara, City of Echoes",gold
Mage,Frost,9,305.0,15.87,"Ara-Kara, City of Echoes",gold
Shaman,Enhancement,9,305.0,16.34,"Ara-Kara, City of Echoes",gold
Paladin,Protection,9,305.0,16.34,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,9,305.0,16.34,"Ara-Kara, City of Echoes",gold
Priest,Discipline,9,305.0,16.34,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,9,305.0,16.34,"Ara-Kara, City of Echoes",gold
DeathKnight,Frost,9,305.0,17.99,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,9,305.0,17.99,"Ara-Kara, City of Echoes",gold
Warlock,Destruction,9,305.0,17.99,"Ara-Kara, City of Echoes",gold
Priest,Discipline,9,305.0,17.99,"Ara-Kara, City of Echoes",gold
Warrior,Protection,9,305.0,17.99,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,9,305.0,16.44,"Ara-Kara, City of Echoes",gold
Priest,Holy,9,305.0,16.44,"Ara-Kara, City of Echoes",gold
Paladin,Protection,9,305.0,16.44,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,9,305.0,16.44,"Ara-Kara, City of Echoes",gold
Warlock,Affliction,9,305.0,16.44,"Ara-Kara, City of Echoes",gold
Warrior,Protection,9,305.0,14.95,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,9,305.0,14.95,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,9,305.0,14.95,"Ara-Kara, City of Echoes",gold
Shaman,Restoration,9,305.0,14.95,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,9,305.0,14.95,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,9,305.0,16.85,"Ara-Kara, City of Echoes",gold
Warrior,Protection,9,305.0,16.85,"Ara-Kara, City of Echoes",gold
Shaman,Restoration,9,305.0,16.85,"Ara-Kara, City of Echoes",gold
Warlock,Destruction,9,305.0,16.85,"Ara-Kara, City of Echoes",gold
DeathKnight,Frost,9,305.0,16.85,"Ara-Kara, City of Echoes",gold
Warlock,Destruction,9,305.0,16.79,"Ara-Kara, City of Echoes",gold
Paladin,Protection,9,305.0,16.79,"Ara-Kara, City of Echoes",gold
Priest,Shadow,9,305.0,16.79,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,9,305.0,16.79,"Ara-Kara, City of Echoes",gold
Shaman,Restoration,9,305.0,16.79,"Ara-Kara, City of Echoes",gold
Druid,Restoration,9,305.0,17.24,"Ara-Kara, City of Echoes",gold
Rogue,Subtlety,9,305.0,17.24,"Ara-Kara, City of Echoes",gold
Mage,Arcane,9,305.0,17.24,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,9,305.0,17.24,"Ara-Kara, City of Echoes",gold
Monk,Brewmaster,9,305.0,17.24,"Ara-Kara, City of Echoes",gold
Warrior,Protection,9,305.0,15.8,"Ara-Kara, City of Echoes",gold
Shaman,Restoration,9,305.0,15.8,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,9,305.0,15.8,"Ara-Kara, City of Echoes",gold
Mage,Arcane,9,305.0,14.56,"Ara-Kara, City of Echoes",gold
Monk,Brewmaster,9,305.0,14.56,"Ara-Kara, City of Echoes",gold
Druid,Restoration,9,305.0,14.56,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,9,305.0,14.56,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,9,305.0,14.56,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,9,305.0,16.18,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,9,305.0,16.18,"Ara-Kara, City of Echoes",gold
Evoker,Devastation,9,305.0,16.18,"Ara-Kara, City of Echoes",gold
Shaman,Restoration,9,305.0,16.18,"Ara-Kara, City of Echoes",gold
DeathKnight,Blood,9,305.0,16.18,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,9,305.0,14.86,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,9,305.0,15.24,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,9,305.0,15.24,"Ara-Kara, City of Echoes",gold
Warrior,Fury,9,305.0,15.24,"Ara-Kara, City of Echoes",gold
DeathKnight,Frost,9,305.0,15.24,"Ara-Kara, City of Echoes",gold
Paladin,Protection,9,305.0,15.24,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,9,305.0,15.4,"Ara-Kara, City of Echoes",gold
Shaman,Enhancement,9,305.0,15.4,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,9,305.0,15.4,"Ara-Kara, City of Echoes",gold
Shaman,Restoration,9,305.0,15.4,"Ara-Kara, City of Echoes",gold
Warrior,Protection,9,305.0,15.4,"Ara-Kara, City of Echoes",gold
Druid,Feral,9,305.0,16.91,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,9,305.0,16.91,"Ara-Kara, City of Echoes",gold
Paladin,Protection,9,305.0,16.91,"Ara-Kara, City of Echoes",gold
Paladin,Holy,9,305.0,16.91,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,9,305.0,16.91,"Ara-Kara, City of Echoes",gold
DeathKnight,Frost,9,305.0,16.47,"Ara-Kara, City of Echoes",gold
Paladin,Holy,9,305.0,16.47,"Ara-Kara, City of Echoes",gold
DeathKnight,Frost,9,305.0,16.47,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,9,305.0,16.47,"Ara-Kara, City of Echoes",gold
Warrior,Protection,9,305.0,16.47,"Ara-Kara, City of Echoes",gold
Shaman,Enhancement,9,305.0,17.86,"Ara-Kara, City of Echoes",gold
Warrior,Protection,10,335.0,16.95,"Ara-Kara, City of Echoes",gold
Shaman,Restoration,10,335.0,16.95,"Ara-Kara, City of Echoes",gold
Warlock,Destruction,10,335.0,16.95,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,10,335.0,16.95,"Ara-Kara, City of Echoes",gold
Shaman,Restoration,10,335.0,17.4,"Ara-Kara, City of Echoes",gold
Warrior,Protection,10,335.0,17.4,"Ara-Kara, City of Echoes",gold
DeathKnight,Frost,10,335.0,17.4,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,10,335.0,17.4,"Ara-Kara, City of Echoes",gold
Monk,Windwalker,10,335.0,17.4,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,10,335.0,16.52,"Ara-Kara, City of Echoes",gold
Druid,Restoration,10,335.0,16.52,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,10,335.0,16.52,"Ara-Kara, City of Echoes",gold
DemonHunter,Vengeance,10,335.0,16.52,"Ara-Kara, City of Echoes",gold
DeathKnight,Unholy,10,335.0,15.8,"Ara-Kara, City of Echoes",gold
Warrior,Fury,10,335.0,15.8,"Ara-Kara, City of Echoes",gold
Shaman,Restoration,10,335.0,15.8,"Ara-Kara, City of Echoes",gold
Warrior,Protection,10,335.0,15.8,"Ara-Kara, City of Echoes",gold
Mage,Frost,10,335.0,15.8,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,10,335.0,17.28,"Ara-Kara, City of Echoes",gold
Warlock,Demonology,10,335.0,17.28,"Ara-Kara, City of Echoes",gold
Shaman,Restoration,10,335.0,17.28,"Ara-Kara, City of Echoes",gold
Warrior,Fury,10,335.0,17.28,"Ara-Kara, City of Echoes",gold
Warrior,Protection,10,335.0,17.28,"Ara-Kara, City of Echoes",gold
Rogue,Subtlety,10,335.0,17.02,"Ara-Kara, City of Echoes",gold
Warlock,Destruction,10,335.0,17.02,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,10,335.0,17.02,"Ara-Kara, City of Echoes",gold
Paladin,Protection,10,335.0,17.02,"Ara-Kara, City of Echoes",gold
Priest,Holy,10,335.0,17.02,"Ara-Kara, City of Echoes",gold
Mage,Arcane,10,335.0,17.6,"Ara-Kara, City of Echoes",gold
Priest,Discipline,10,335.0,17.6,"Ara-Kara, City of Echoes",gold
Warlock,Demonology,10,335.0,17.6,"Ara-Kara, City of Echoes",gold
DeathKnight,Blood,10,335.0,17.6,"Ara-Kara, City of Echoes",gold
Druid,Feral,10,335.0,17.6,"Ara-Kara, City of Echoes",gold
Hunter,Survival,10,335.0,15.82,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,10,335.0,15.82,"Ara-Kara, City of Echoes",gold
Warrior,Protection,10,335.0,15.82,"Ara-Kara, City of Echoes",gold
Shaman,Restoration,10,335.0,15.82,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,10,335.0,15.82,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,10,335.0,16.7,"Ara-Kara, City of Echoes",gold
Druid,Feral,10,335.0,16.7,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,10,335.0,16.7,"Ara-Kara, City of Echoes",gold
Druid,Restoration,10,335.0,16.7,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,10,335.0,16.9,"Ara-Kara, City of Echoes",gold
Shaman,Restoration,10,335.0,16.9,"Ara-Kara, City of Echoes",gold
Warrior,Protection,10,335.0,16.9,"Ara-Kara, City of Echoes",gold
Hunter,Survival,10,335.0,16.9,"Ara-Kara, City of Echoes",gold
DeathKnight,Frost,10,335.0,16.9,"Ara-Kara, City of Echoes",gold
Druid,Restoration,10,335.0,17.63,"Ara-Kara, City of Echoes",gold
DemonHunter,Vengeance,10,335.0,17.63,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,10,335.0,17.63,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,10,335.0,17.63,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,10,335.0,17.63,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,10,335.0,17.33,"Ara-Kara, City of Echoes",gold
Shaman,Restoration,10,335.0,17.33,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,10,335.0,17.33,"Ara-Kara, City of Echoes",gold
Warrior,Protection,10,335.0,17.33,"Ara-Kara, City of Echoes",gold
Paladin,Protection,10,335.0,17.06,"Ara-Kara, City of Echoes",gold
DeathKnight,Frost,10,335.0,17.06,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,10,335.0,17.06,"Ara-Kara, City of Echoes",gold
Evoker,Devastation,10,335.0,17.06,"Ara-Kara, City of Echoes",gold
Monk,Mistweaver,10,335.0,17.06,"Ara-Kara, City of Echoes",gold
DeathKnight,Frost,10,335.0,17.22,"Ara-Kara, City of Echoes",gold
Warrior,Protection,10,335.0,17.22,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,10,335.0,17.22,"Ara-Kara, City of Echoes",gold
Paladin,Holy,10,335.0,17.22,"Ara-Kara, City of Echoes",gold
Paladin,Protection,10,335.0,17.22,"Ara-Kara, City of Echoes",gold
Druid,Restoration,10,335.0,16.51,"Ara-Kara, City of Echoes",gold
Mage,Frost,10,335.0,16.51,"Ara-Kara, City of Echoes",gold
Warrior,Protection,10,335.0,16.51,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,10,335.0,16.51,"Ara-Kara, City of Echoes",gold
Paladin,Protection,10,335.0,16.51,"Ara-Kara, City of Echoes",gold
Warlock,Demonology,10,335.0,17.3,"Ara-Kara, City of Echoes",gold
DeathKnight,Frost,10,335.0,17.3,"Ara-Kara, City of Echoes",gold
DeathKnight,Blood,10,335.0,17.3,"Ara-Kara, City of Echoes",gold
Shaman,Restoration,10,335.0,17.3,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,10,335.0,17.3,"Ara-Kara, City of Echoes",gold
DeathKnight,Frost,10,335.0,15.62,"Ara-Kara, City of Echoes",gold
Warrior,Fury,10,335.0,15.62,"Ara-Kara, City of Echoes",gold
Warrior,Fury,10,335.0,15.62,"Ara-Kara, City of Echoes",gold
Shaman,Restoration,10,335.0,15.62,"Ara-Kara, City of Echoes",gold
Paladin,Protection,10,335.0,15.62,"Ara-Kara, City of Echoes",gold
Priest,Discipline,10,335.0,16.02,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,10,335.0,16.02,"Ara-Kara, City of Echoes",gold
Warrior,Fury,10,335.0,16.02,"Ara-Kara, City of Echoes",gold
Monk,Windwalker,10,335.0,16.02,"Ara-Kara, City of Echoes",gold
Druid,Guardian,10,335.0,16.02,"Ara-Kara, City of Echoes",gold
DeathKnight,Frost,10,335.0,17.73,"Ara-Kara, City of Echoes",gold
Mage,Frost,10,335.0,17.73,"Ara-Kara, City of Echoes",gold
Monk,Brewmaster,10,335.0,17.73,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,10,335.0,17.73,"Ara-Kara, City of Echoes",gold
Druid,Restoration,10,335.0,17.73,"Ara-Kara, City of Echoes",gold
Druid,Guardian,10,335.0,17.73,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,10,335.0,17.73,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,10,335.0,17.73,"Ara-Kara, City of Echoes",gold
Shaman,Restoration,10,335.0,17.73,"Ara-Kara, City of Echoes",gold
DeathKnight,Frost,10,335.0,17.73,"Ara-Kara, City of Echoes",gold
Warrior,Protection,10,335.0,16.51,"Ara-Kara, City of Echoes",gold
Mage,Frost,10,335.0,16.51,"Ara-Kara, City of Echoes",gold
Druid,Restoration,10,335.0,16.51,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,10,335.0,16.51,"Ara-Kara, City of Echoes",gold
Priest,Discipline,11,350.0,16.47,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,11,350.0,16.47,"Ara-Kara, City of Echoes",gold
Warrior,Protection,11,350.0,16.47,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,11,350.0,16.47,"Ara-Kara, City of Echoes",gold
Warrior,Fury,11,350.0,16.47,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,11,350.0,17.25,"Ara-Kara, City of Echoes",gold
Monk,Mistweaver,11,350.0,17.25,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,11,350.0,17.25,"Ara-Kara, City of Echoes",gold
Paladin,Protection,11,350.0,17.25,"Ara-Kara, City of Echoes",gold
DeathKnight,Frost,11,350.0,17.25,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,11,350.0,17.73,"Ara-Kara, City of Echoes",gold
Warrior,Protection,11,350.0,17.73,"Ara-Kara, City of Echoes",gold
Shaman,Restoration,11,350.0,17.73,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,11,350.0,17.73,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,11,350.0,17.73,"Ara-Kara, City of Echoes",gold
Warrior,Fury,11,350.0,16.47,"Ara-Kara, City of Echoes",gold
Priest,Discipline,11,350.0,16.47,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,11,350.0,16.47,"Ara-Kara, City of Echoes",gold
Warrior,Protection,11,350.0,16.47,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,11,350.0,16.47,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,11,350.0,17.09,"Ara-Kara, City of Echoes",gold
Shaman,Elemental,11,350.0,17.09,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,11,350.0,17.09,"Ara-Kara, City of Echoes",gold
Paladin,Protection,11,350.0,17.09,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,11,350.0,17.45,"Ara-Kara, City of Echoes",gold
Mage,Arcane,11,350.0,17.45,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,11,350.0,17.45,"Ara-Kara, City of Echoes",gold
Druid,Restoration,11,350.0,17.45,"Ara-Kara, City of Echoes",gold
Paladin,Protection,11,350.0,17.45,"Ara-Kara, City of Echoes",gold
Warlock,Demonology,11,350.0,17.77,"Ara-Kara, City of Echoes",gold
Priest,Discipline,11,350.0,17.77,"Ara-Kara, City of Echoes",gold
Druid,Balance,11,350.0,17.77,"Ara-Kara, City of Echoes",gold
Paladin,Protection,11,350.0,17.77,"Ara-Kara, City of Echoes",gold
DeathKnight,Frost,11,350.0,17.77,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,11,350.0,17.61,"Ara-Kara, City of Echoes",gold
Warrior,Protection,11,350.0,17.61,"Ara-Kara, City of Echoes",gold
Shaman,Restoration,11,350.0,17.61,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,11,350.0,17.61,"Ara-Kara, City of Echoes",gold
Warlock,Demonology,11,350.0,17.61,"Ara-Kara, City of Echoes",gold
Shaman,Restoration,11,350.0,17.21,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,11,350.0,17.21,"Ara-Kara, City of Echoes",gold
DeathKnight,Blood,11,350.0,17.21,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,11,350.0,17.21,"Ara-Kara, City of Echoes",gold
DeathKnight,Frost,11,350.0,17.21,"Ara-Kara, City of Echoes",gold
Warrior,Protection,11,350.0,17.67,"Ara-Kara, City of Echoes",gold
Warlock,Destruction,11,350.0,17.67,"Ara-Kara, City of Echoes",gold
Evoker,Preservation,11,350.0,17.67,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,11,350.0,17.67,"Ara-Kara, City of Echoes",gold
Priest,Shadow,11,350.0,17.67,"Ara-Kara, City of Echoes",gold
Shaman,Elemental,11,350.0,17.09,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,11,350.0,17.09,"Ara-Kara, City of Echoes",gold
Druid,Restoration,11,350.0,17.09,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,11,350.0,17.09,"Ara-Kara, City of Echoes",gold
Paladin,Protection,11,350.0,17.09,"Ara-Kara, City of Echoes",gold
Druid,Restoration,11,350.0,17.45,"Ara-Kara, City of Echoes",gold
Paladin,Protection,11,350.0,17.45,"Ara-Kara, City of Echoes",gold
